"","player_api_id","overall_rate","gk_rate","player_name","appear","league"
"7354",178765,77,130,"Davy Proepper",135,1
"7355",178767,69,55,"Jeff Stans",78,1
"7356",178770,68,119,"Fanol Perdedaj",6,1
"7357",178771,72,357,"Andreas Luthe",3,1
"7358",178774,71,114,"Julian Koch",2,1
"7359",178778,78,384,"Oliver Baumann",198,1
"7360",178781,77,107,"Tolgay Arslan",60,1
"7361",178784,74,128,"Maximillian Beister",22,1
"7362",178788,65,43,"Ties Evers",23,1
"7363",178800,70,126,"Manuel Gulde",2,1
"7364",178802,74,148,"Franco Zuculini",27,3
"7365",178803,67,103,"Stephan Salger",5,1
"7366",178804,75,144,"Christian Clemens",78,1
"7367",178812,81,139,"Andre Schuerrle",163,2
"7368",178818,84,122,"Ilkay Guendogan",133,1
"7369",178833,71,110,"Sebastian Polter",17,1
"7370",178947,59,47,"Asmir Kajevic",25,1
"7371",178955,81,66,"Stefan Savic",100,3
"7372",179009,72,38,"Dejan Lekic",15,1
"7373",179047,63,137,"Junior Livramento",5,1
"7374",179050,65,60,"Chris Erskine",53,1
"7375",179058,60,129,"Glenn van Asten",3,1
"7376",179059,68,135,"Cristophe Diandy",71,1
"7377",179071,60,53,"Lukas Bielak",33,1
"7378",179083,72,119,"Willian Jose",19,1
"7379",179090,74,47,"Junya Tanaka",5,1
"7380",179115,71,48,"Marcel Ritzmaier",45,1
"7381",179175,63,51,"Sofian Akouili",10,1
"7382",179176,61,56,"Richard Stolte",1,1
"7383",179179,67,69,"Xander Houtkoop",43,1
"7384",179182,61,50,"Tobias Waisapy",1,1
"7385",179184,63,49,"Roland Bergkamp",24,1
"7386",179201,66,59,"Calvin Mac-Intosh",25,1
"7387",179206,63,60,"Damiano Schet",22,1
"7388",179208,67,35,"Bryan Smeets",27,1
"7389",179218,67,63,"Mikhail Rosheuvel",57,1
"7390",179236,64,54,"Ilias Haddad",27,2
"7391",179239,74,55,"Michael de Leeuw",126,1
"7392",179241,67,51,"Mitch Apau",83,2
"7393",179242,64,50,"Lars Lambooij",12,1
"7394",179289,71,47,"Vojo Ubiparip",33,1
"7395",179310,71,56,"Waldemar Sobota",76,2
"7396",179311,65,55,"Patryk Tuszynski",42,1
"7397",179365,73,130,"May Mahlangu",13,1
"7398",179375,66,131,"Vlastimir Jovanovic",153,1
"7399",179393,79,132,"Ludovic Lamine Sane",180,1
"7400",179396,57,125,"Hugo Cianci",2,1
"7401",179397,67,139,"Jonathan Tinhan",1,1
"7402",179402,72,60,"Idrissa Sylla",26,1
"7403",179403,66,96,"Fousseyni Cisse",7,2
"7404",179404,68,56,"Patrick Ekeng Ekeng",30,2
"7405",179407,71,52,"Issam El Adoua",54,2
"7406",179410,76,134,"Idrissa Gana Gueye",139,2
"7407",179411,65,136,"Arnaud Souquet",1,1
"7408",179412,70,49,"Ladislas Douniama",9,1
"7409",179415,70,64,"Maxime Barthelme",72,1
"7410",179491,75,133,"Edgar Prib",69,1
"7411",179511,82,127,"Younes Belhanda",110,2
"7412",179513,66,57,"Xavier Mercier",6,1
"7413",179516,69,55,"Roderic Filippi",21,1
"7414",179517,66,122,"Yassine Jebbour",37,1
"7415",179520,67,112,"Loic Poujol",46,1
"7416",179522,77,135,"Dany Nounkeu",31,1
"7417",179523,75,110,"Luan",6,1
"7418",179759,68,40,"Hoerdur Magnusson",12,1
"7419",179769,66,66,"Matthieu Sans",2,1
"7420",179772,80,135,"Iker Muniain",161,1
"7421",179773,59,129,"Emmanuel Correze",4,1
"7422",179774,65,108,"Gael Germany",16,1
"7423",179783,68,126,"Romain Reynaud",46,1
"7424",179788,59,108,"Hassan Lingani",3,1
"7425",179791,78,123,"Thomas Heurtaux",142,2
"7426",179792,63,115,"Romain Inez",18,1
"7427",179793,72,52,"Yacouba Sylla",30,2
"7428",179795,82,124,"Yacine Brahimi",128,3
"7429",179798,70,124,"Florin Berenguer",10,1
"7430",179801,60,51,"Willy Aubameyang",4,1
"7431",179810,66,107,"Mustapha Dumbuya",19,1
