"","lon","lat"
"225",-117.1610838,32.715738
"226",NA,NA
"227",NA,NA
"228",-77.216339,38.927775
"229",-81.8479925,41.4124339
"230",-105.7820674,39.5500507
"231",121.0437003,14.6760413
"232",100.5188202,13.7739146
"233",NA,NA
"234",45.079162,23.885942
"235",NA,NA
"236",-122.4194155,37.7749295
"237",NA,NA
"238",NA,NA
"239",-95.3698028,29.7604267
"240",NA,NA
"241",77.6271223,12.9336846
"242",NA,NA
"243",-83.3893686,42.3408422
"244",-116.5765035,53.9332706
"245",-93.3083319,45.0644418
"246",NA,NA
"247",121.774017,12.879721
"248",-99.9018131,31.9685988
"249",NA,NA
"250",-149.0729715,62.4113634
"251",-87.2169149,30.421309
"252",NA,NA
"253",-76.2971657,3.5379718
"254",-81.8479925,41.4124339
"255",NA,NA
"256",NA,NA
"257",NA,NA
"258",NA,NA
"259",NA,NA
"260",NA,NA
"261",-123.0867536,44.0520691
"262",-75.4901833,40.6084305
"263",NA,NA
"264",100.5017651,13.7563309
"265",-77.1945247,41.2033216
"266",-113.571707,53.592974
"267",37.906193,-0.023559
"268",74.3294199,29.5815012
"269",-81.551844,28.373949
"270",NA,NA
"271",-104.990251,39.7392358
"272",-104.5616256,40.387481
"273",131.8869243,43.1198091
"274",NA,NA
"275",-90.230759,15.783471
"276",-75.058009,39.9562052
"277",-91.8318334,37.9642529
"278",-106.0691004,28.6329957
"279",NA,NA
"280",NA,NA
"281",NA,NA
"282",NA,NA
"283",-118.3089661,34.1808392
"284",NA,NA
"285",-86.5861037,34.7303688
"286",NA,NA
"287",NA,NA
"288",-95.712891,37.09024
"289",-149.4936733,64.2008413
"290",NA,NA
"291",NA,NA
"292",-106.346771,56.130366
"293",-84.4277001,33.6407282
"294",NA,NA
"295",-106.6055534,35.0853336
"296",NA,NA
"297",NA,NA
"298",-88.2492037,35.2248034
"299",NA,NA
"300",-6.0580106,54.516246
"301",NA,NA
"302",NA,NA
"303",-73.9950857,40.6926469
"304",37.906193,-0.023559
"305",NA,NA
"306",78.96288,20.593684
"307",-118.3617443,34.0900091
"308",-120.7401386,47.7510741
"309",NA,NA
"310",18.6466384,54.3520252
"311",-74.4056612,40.0583238
"312",NA,NA
"313",NA,NA
"314",NA,NA
"315",-83.9716095,42.0719866
"316",NA,NA
"317",NA,NA
"318",NA,NA
"319",1.297355,52.6308859
"320",-118.2436849,34.0522342
"321",-117.9414477,33.7739053
"322",-95.3698028,29.7604267
"323",NA,NA
"324",-74.0059413,40.7127837
"325",NA,NA
"326",NA,NA
"327",-82.472568,28.0434726
"328",-100.2596935,25.6775595
"329",NA,NA
"330",NA,NA
"331",-84.2700179,37.8393332
"332",-98.2300124,26.2034071
"333",NA,NA
"334",NA,NA
"335",NA,NA
"336",NA,NA
"337",NA,NA
"338",-122.9381672,46.1381676
"339",NA,NA
"340",-95.712891,37.09024
"341",-93.0899578,44.9537029
"342",-87.6297982,41.8781136
"343",NA,NA
"344",-119.4179324,36.778261
"345",NA,NA
"346",-90.230759,15.783471
"347",-83.9207392,35.9606384
"348",-102.552784,23.634501
"349",-74.0110306,40.703295
"350",-120.9008428,35.6547949
"351",NA,NA
"352",NA,NA
"353",-94.5785667,39.0997265
"354",NA,NA
"355",-122.3320708,47.6062095
"356",-74.0059413,40.7127837
"357",NA,NA
"358",-73.087749,41.6032207
"359",78.96288,20.593684
"360",NA,NA
"361",72.8776559,19.0759837
"362",NA,NA
"363",-51.2176584,-30.0346471
"364",NA,NA
"365",NA,NA
"366",NA,NA
"367",NA,NA
"368",NA,NA
"369",NA,NA
"370",NA,NA
"371",-74.0059413,40.7127837
"372",NA,NA
"373",-95.712891,37.09024
"374",NA,NA
"375",73.8567437,18.5204303
"376",-122.6764816,45.5230622
"377",NA,NA
"378",-74.694929,40.774716
"379",-119.7732666,36.8090377
"380",-74.0059413,40.7127837
"381",NA,NA
"382",90.4125181,23.810332
"383",-79.3831843,43.653226
"384",-117.5664384,33.8752935
"385",-73.6834621,41.0192641
"386",-81.5157535,27.6648274
"387",NA,NA
"388",-117.1610838,32.715738
"389",NA,NA
"390",NA,NA
"391",100.992541,15.870032
"392",-119.4179324,36.778261
"393",NA,NA
"394",NA,NA
"395",-120.1972129,37.7107484
"396",NA,NA
"397",NA,NA
"398",84.124008,28.394857
"399",NA,NA
"400",NA,NA
"401",-87.6297982,41.8781136
"402",7.44438,43.786648
"403",NA,NA
"404",NA,NA
"405",-81.6943605,41.49932
"406",-85.3232139,51.253775
"407",NA,NA
"408",-98.3168216,29.6150433
"409",NA,NA
"410",-84.0907246,9.9280694
"411",NA,NA
"412",NA,NA
"413",-2.58791,51.454513
"414",NA,NA
"415",NA,NA
"416",98.6722227,3.5951956
"417",-105.1781092,40.1893942
"418",NA,NA
"419",NA,NA
"420",NA,NA
"421",-119.4179324,36.778261
"422",-86.5804473,35.5174913
"423",116.0734568,5.980408
"424",NA,NA
"425",-3.74922,40.463667
"426",NA,NA
"427",NA,NA
"428",-79.0414261,33.5510021
"429",NA,NA
"430",-87.6297982,41.8781136
"431",139.6917064,35.6894875
"432",-79.8442978,-6.7765974
"433",NA,NA
"434",NA,NA
"435",-77.8291259,34.2421285
"436",NA,NA
"437",-81.6943605,41.49932
"438",-82.1959178,28.3647248
"439",-84.2700179,37.8393332
"440",NA,NA
"441",122.0790267,6.9214424
"442",NA,NA
"443",NA,NA
"444",NA,NA
"445",-81.2078699,29.5844524
"446",127.0286009,37.2635727
"447",NA,NA
"448",101.975766,4.210484
"449",NA,NA
"450",-73.4170673,40.6789893
"451",NA,NA
"452",NA,NA
"453",NA,NA
"454",-112.0740373,33.4483771
"455",-122.3320708,47.6062095
"456",-122.329437,48.475753
"457",NA,NA
"458",35.243322,38.963745
"459",NA,NA
