"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"14","RT @LouisT91Updates: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B2> | Bloopers for the #ValentinesDay messages. Catch Louis around 00:27 <ed><U+00A0><U+00BD><ed><U+00B8><U+009D><ed><U+00A0><U+00BD><ed><U+00B8><U+009D>. Wishing love ! 

Feb 14, 2017 • ©@iHeartRad…",FALSE,0,NA,2017-02-16 03:50:18,FALSE,NA,"832074599449845761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","larryxftxniall",3747,TRUE,FALSE,NA,NA
"15","RT @MyLifeWellLoved: 5 Ways to Love Your Community on #ValentinesDay https://t.co/BjkvgughvO https://t.co/buFk2DJCL6",FALSE,0,NA,2017-02-16 03:50:17,FALSE,NA,"832074596694122496",NA,"<a href=""http://happilyblended.com"" rel=""nofollow"">HappilyBlendedApp</a>","EasyCookin2012",48,TRUE,FALSE,NA,NA
"16","RT @readperbooks: #Instafreebie #ValentinesDay #giveaway via @suzannejenkins3
https://t.co/rKg534XM4k
@instafreebie #romance #romcom #BYNR…",FALSE,0,NA,2017-02-16 03:50:17,FALSE,NA,"832074594186063874",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AuthorJaxonReed",76,TRUE,FALSE,NA,NA
"17","RT @ohteenquotes: Happy #ValentinesDay https://t.co/YVZnnPd0sx",FALSE,0,NA,2017-02-16 03:50:15,FALSE,NA,"832074587647012865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoanBong_",650,TRUE,FALSE,NA,NA
"18","RT @mjdeleonblogs: Show your love for our favorite #ValentinesDay couple! RT this! #DestinedToBeYoursPresscon #DTBYFullTrailerOn24Oras http…",FALSE,0,NA,2017-02-16 03:50:12,FALSE,NA,"832074573214412801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GracieDG2",162,TRUE,FALSE,NA,NA
"19","RT @ChrisKrxss: My #ValentinesDay... as usual.<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
#ForeverAlone
https://t.co/J4xQ5w0DqU",FALSE,0,NA,2017-02-16 03:50:08,FALSE,NA,"832074557062144000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hypegoner",20,TRUE,FALSE,NA,NA
"20","RT @GloriaEstefan: #Repost @emily_estefan with @repostapp
···
Really feeling the love this #ValentinesDay… https://t.co/LXks4PCceL",FALSE,0,NA,2017-02-16 03:50:01,FALSE,NA,"832074527186178049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gocoo",13,TRUE,FALSE,NA,NA
"21","Let @MadisonReedllb Liven Up Your #HairColor For #ValentinesDay https://t.co/TBGt0SlyKY via @beauxbeautyblog #madisonreed #femalebloggerrt",FALSE,0,NA,2017-02-16 03:50:00,FALSE,NA,"832074525185626112",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","beauxbeautyblog",0,FALSE,FALSE,NA,NA
"22","RT @popwrecked: The official #ValentinesDay photo of @KendallKarsonXo is so hot, we should extend the holiday to two days. #PopwreckedAppro…",FALSE,0,NA,2017-02-16 03:49:59,FALSE,NA,"832074520466903040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kortneytaylor12",559,TRUE,FALSE,NA,NA
"23","RT @popwrecked: Happy Day After #ValentinesDay From #PopwreckedApproved @AbiRatchford https://t.co/BZSR4U43St",FALSE,0,NA,2017-02-16 03:49:59,FALSE,NA,"832074518889787392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ronidavis1607",2004,TRUE,FALSE,NA,NA
