"","lon","lat"
"256",-96.7863844,32.9620968
"257",NA,NA
"258",-74.4056612,40.0583238
"259",-91.8318334,37.9642529
"260",139.6423446,35.4475073
"261",NA,NA
"262",NA,NA
"263",-119.4179324,36.778261
"264",98.6655592,3.5354881
"265",-87.771964,41.909611
"266",NA,NA
"267",NA,NA
"268",NA,NA
"269",NA,NA
"270",NA,NA
"271",-84.0907246,9.9280694
"272",-79.692981,44.381212
"273",NA,NA
"274",NA,NA
"275",NA,NA
"276",-117.1610838,32.715738
"277",13.64157,51.01927
"278",-92.1141194,31.6786179
"279",NA,NA
"280",NA,NA
"281",-114.0708459,51.0486151
"282",-75.015152,-9.189967
"283",-79.3723763,43.6524278
"284",NA,NA
"285",-77.3063733,38.8462236
"286",NA,NA
"287",-122.159285,37.447978
"288",NA,NA
"289",-122.5888686,37.9871454
"290",77.1024902,28.7040592
"291",-120.8465941,37.4946568
"292",-77.0427934,-12.046374
"293",NA,NA
"294",-57.6604364,53.1355091
"295",NA,NA
"296",-114.0708459,51.0486151
"297",153.0251235,-27.4697707
"298",NA,NA
"299",NA,NA
"300",NA,NA
"301",-106.346771,56.130366
"302",NA,NA
"303",NA,NA
"304",NA,NA
"305",-0.1277583,51.5073509
"306",-79.9276651,40.4455627
"307",NA,NA
"308",-74.1502007,40.5795317
"309",-71.0588801,42.3600825
"310",-125.4493906,49.6506376
"311",NA,NA
"312",NA,NA
"313",2.3522219,48.856614
"314",NA,NA
"315",NA,NA
"316",-70.760349,43.0751946
"317",133.775136,-25.274398
"318",72.8776559,19.0759837
"319",-111.0937311,34.0489281
"320",-95.712891,37.09024
"321",NA,NA
"322",NA,NA
"323",NA,NA
"324",133.775136,-25.274398
"325",NA,NA
"326",NA,NA
"327",-94.0805278,44.6082966
"328",-87.6297982,41.8781136
"329",-74.297333,4.570868
"330",NA,NA
"331",-98.1690023,31.302014
"332",NA,NA
"333",-80.2533838,35.8240265
"334",18.2560016,48.7202778
"335",-81.0998342,32.0835407
"336",NA,NA
"337",NA,NA
"338",NA,NA
"339",-66.590149,18.220833
"340",-75.6971931,45.4215296
"341",NA,NA
"342",NA,NA
"343",NA,NA
"344",NA,NA
"345",NA,NA
"346",-97.092877,35.0077519
"347",-74.4565453,41.1767623
"348",NA,NA
"349",-85.3232139,51.253775
"350",NA,NA
"351",79.8996789,6.8649081
"352",NA,NA
"353",NA,NA
"354",NA,NA
"355",-112.0740373,33.4483771
"356",NA,NA
"357",-77.0368707,38.9071923
"358",NA,NA
"359",-118.2436849,34.0522342
"360",NA,NA
"361",NA,NA
"362",-116.5765035,53.9332706
"363",-100.3161126,25.6866142
"364",-87.6297982,41.8781136
"365",NA,NA
"366",-97.1060202,32.940444
"367",78.96288,20.593684
"368",NA,NA
"369",-114.0708459,51.0486151
"370",NA,NA
"371",-83.9161935,9.8638091
"372",NA,NA
"373",NA,NA
"374",NA,NA
"375",-118.2436849,34.0522342
"376",-99.8590069,43.3766665
"377",-122.0399663,38.2493581
"378",-79.3831843,43.653226
"379",NA,NA
"380",-72.5353437,42.5355277
"381",-82.9000751,32.1656221
"382",NA,NA
"383",NA,NA
"384",NA,NA
"385",NA,NA
"386",-82.907123,40.4172871
"387",NA,NA
"388",NA,NA
"389",-75.518972,44.709294
"390",NA,NA
