"","count","lat","lon"
"2",1,-41.2923682,174.7724295
"3",1,-30.559482,22.937506
"4",1,-28.6104322,153.1932534
"5",1,-28.016667,153.4
"6",1,-22.8272883,-43.0637646
"7",1,-5.2574467,-36.7170585
"8",1,4.570868,-74.297333
"9",1,10.2313205,-67.2847875
"10",1,10.431916,-64.183316
"11",2,13.7563309,100.5017651
"12",1,13.8055921,100.5751994
"13",1,15.870032,100.992541
"14",1,17.758076,83.334056
"15",1,18.220833,-66.590149
"16",1,19.0759837,72.8776559
"17",2,19.4326077,-99.133208
"18",1,20.1010608,-98.7591311
"19",1,22.744446,-98.9759252
"20",1,23.684994,90.356331
"21",1,24.3963061,68.93384
"22",1,25.216667,55.166667
"23",1,26.7271012,88.3952861
"24",1,26.9124336,75.7872709
"25",1,27.6648274,-81.5157535
"26",1,28.0582985,-81.8661442
"27",1,28.0587031,-82.4138539
"28",1,28.4743207,-81.4678193
"29",1,29.3909464,76.9635023
"30",1,29.423035,-98.4908102
"31",5,29.7604267,-95.3698028
"32",1,29.9510658,-90.0715323
"33",1,30.2949457,-82.98402
"34",1,30.375321,69.345116
"35",1,30.421309,-87.2169149
"36",2,30.9842977,-91.9623327
"37",4,31.9685988,-99.9018131
"38",1,32.1656221,-82.9000751
"39",1,32.3881861,-98.9792336
"40",1,32.742923,-97.7428165
"41",1,32.7554883,-97.3307658
"42",1,33.0806083,-96.8928309
"43",2,33.7489954,-84.3879824
"44",1,34.0489281,-111.0937311
"45",1,34.0522342,-118.2436849
"46",1,34.0565284,-117.8215295
"47",1,34.1367208,-118.6614809
"48",1,34.2331373,-102.4107493
"49",1,34.4812062,-87.2933533
"50",1,35.2248034,-88.2492037
"51",1,35.2270869,-80.8431267
"52",1,35.5174913,-86.5804473
"53",1,35.6894875,139.6917064
"54",1,36.071217,-80.29983
"55",1,36.1626638,-86.7816016
"56",1,36.1699412,-115.1398296
"57",1,36.204824,138.252924
"58",2,36.778261,-119.4179324
"59",8,37.09024,-95.712891
"60",1,38.4192496,-82.445154
"61",1,38.6270025,-90.1994042
"62",1,38.9071923,-77.0368707
"63",1,38.9181671,-78.1944446
"64",1,39.0457549,-76.6412712
"65",1,40.0067623,-75.1428632
"66",1,40.0141905,-83.0309143
"67",1,40.2671941,-86.1349019
"68",1,40.5649781,-111.8389726
"69",1,40.6071081,-74.1606613
"70",4,40.7127837,-74.0059413
"71",1,40.7539128,-73.9864173
"72",1,40.7672006,-83.8297433
"73",1,40.789142,-73.134961
"74",1,40.7898451,-73.097568
"75",1,40.8091068,-73.9228881
"76",1,40.8257625,-96.6851982
"77",1,40.9358196,-73.9006631
"78",2,41.2033216,-77.1945247
"79",1,41.4124339,-81.8479925
"80",4,41.49932,-81.6943605
"81",2,41.8780025,-93.097702
"82",3,41.8781136,-87.6297982
"83",1,42.2573607,-71.7912002
"84",1,42.3600825,-71.0588801
"85",1,42.4072107,-71.3824374
"86",1,42.4989936,-83.3677168
"87",1,42.6525793,-73.7562317
"88",1,42.844668,-73.8183804
"89",1,43.0405846,-87.9196785
"90",1,43.7508284,-87.71453
"91",1,43.7844397,-88.7878678
"92",1,43.8169837,-79.532157
"93",1,43.993623,-78.60736
"94",1,44.9192844,-123.3170472
"95",1,45.4654219,9.1859243
"96",1,45.485287,-122.542636
"97",1,45.5016889,-73.567256
"98",1,45.8080597,9.0851765
"99",2,46.8138783,-71.2079809
"100",1,47.1584462,-122.3775948
"101",1,47.6062095,-122.3320708
"102",1,48.1446427,6.3355935
"103",1,49.2827291,-123.1207375
"104",1,51.165691,10.451526
"105",1,51.4740846,-0.0930137
"106",3,55.378051,-3.435973
"107",1,64.2008413,-149.4936733
